2016159	6	9	1
2016160	0	1	7
2016161	0	4	1
2016162	6	3	4
2016163	0	3	3
2016164	2	7	3
2016165	0	4	1
2016166	3	9	6
2016167	2	4	9
2016168	1	1	9
2016169	7	0	6
2016170	9	0	9
2016171	5	9	8
2016172	3	2	3
2016173	6	9	5
2016174	0	0	7
2016175	6	4	1
2016176	7	1	2
2016177	1	9	5
2016178	2	4	4
2016179	3	8	7
2016180	6	5	9
2016181	8	6	9
2016182	4	8	9
2016183	6	9	5
2016184	7	0	3
2016185	3	8	0
2016186	6	1	8
2016187	1	3	9
2016188	0	9	9
2016189	7	9	0
2016190	8	2	3
2016191	3	0	8
2016192	6	6	1
2016193	6	9	5
2016194	4	0	7
2016195	6	1	0
2016196	9	0	7
2016197	9	1	5
2016198	3	0	3
2016199	3	4	7
2016200	9	3	2
2016201	3	2	0
2016202	7	8	4
2016203	9	7	5
2016204	3	2	9
2016205	4	9	9
2016206	1	7	3
2016207	5	9	6
2016208	9	5	0
2016209	0	2	3
2016210	2	7	9
2016211	6	3	4
2016212	0	3	8
2016213	1	7	3
2016214	9	4	2
2016215	1	4	4
2016216	3	3	4
2016217	0	3	8
2016218	2	3	3
2016219	4	1	0
2016220	3	6	7
2016221	8	0	8
2016222	4	0	4
2016223	2	9	7
2016224	2	7	8
2016225	2	1	2
2016226	2	8	9
2016227	6	9	8
2016228	1	8	8
2016229	3	7	8
2016230	4	9	7
2016231	4	5	8
2016232	1	3	2
2016233	6	9	4
2016234	2	0	4
2016235	5	5	4
2016236	8	9	1
2016237	5	3	1
2016238	0	3	7
2016239	5	6	0
2016240	0	8	7
2016241	4	9	9
2016242	3	9	5
2016243	4	4	6
2016244	6	9	9
2016245	7	6	0
2016246	3	1	9
2016247	4	4	1
2016248	1	3	9
2016249	1	0	9
2016250	4	1	6
2016251	8	6	0
2016252	0	5	2
2016253	2	6	5
2016254	5	6	4
2016255	4	5	1
2016256	6	2	8
2016257	9	7	6
2016258	2	6	6
2016259	3	2	8
2016260	0	6	1
2016261	0	4	9
2016262	6	5	9
2016263	4	8	9
2016264	8	9	8
2016265	5	2	5
2016266	9	1	4
2016267	9	8	9
2016268	1	0	5
2016269	8	6	0
2016270	4	1	1
2016271	4	4	3
2016272	3	7	3
2016273	5	6	5
2016274	8	8	3
2016275	8	7	4
2016276	2	7	7
2016277	0	8	5
2016278	4	3	5
2016279	6	2	4
2016280	3	7	8
2016281	9	9	8
2016282	6	2	6
2016283	7	4	0
2016284	1	4	3
2016285	8	4	8
2016286	9	0	7
2016287	6	2	1
2016288	0	1	0
2016289	3	5	9
2016290	4	3	0
2016291	1	3	7
2016292	5	0	7
2016293	3	2	6
2016294	3	3	4
2016295	7	8	9
2016296	7	8	4
2016297	1	6	0
2016298	6	5	1
2016299	0	4	5
2016300	8	0	5
2016301	5	7	2
2016302	6	5	6
2016303	8	0	1
2016304	8	5	6
2016305	7	4	4
2016306	0	7	3
2016307	9	9	7
2016308	7	4	3
2016309	8	3	0
2016310	0	4	5
2016311	3	9	8
2016312	1	1	3
2016313	3	7	3
2016314	1	5	7
2016315	8	8	8
2016316	7	7	4
2016317	2	4	3
2016318	4	7	0
2016319	5	5	7
2016320	5	2	9
2016321	8	3	2
2016322	1	5	3
2016323	8	7	7
2016324	6	6	3
2016325	9	6	1
2016326	6	9	0
2016327	8	3	1
2016328	7	0	9
2016329	2	4	4
2016330	3	1	8
2016331	9	8	3
2016332	7	7	6
2016333	0	5	4
2016334	1	8	9
2016335	5	5	0
2016336	0	9	7
2016337	2	9	9
2016338	3	0	1
2016339	2	6	2
2016340	4	9	3
2016341	1	5	1
2016342	4	4	8
2016343	2	2	5
2016344	3	6	7
2016345	5	5	9
2016346	0	2	9
2016347	8	0	6
2016348	2	8	9
2016349	0	4	9
2016350	3	8	3
2016351	8	1	8
2016352	0	1	6
2016353	0	8	4
2016354	4	2	8
2016355	9	4	2
2016356	1	2	5
2016357	4	1	5
2016358	1	1	0
2016359	8	8	3
